epoch,step,train_loss_epoch,train_loss_step,train_mae_epoch,train_mae_step,train_mse,train_rmse,val_loss_epoch,val_loss_step,val_mae_epoch,val_mae_step,val_mse,val_rmse
0,9,,287.4850158691406,,287.9850158691406,,,,,,,,
0,19,,245.10430908203125,,245.60430908203125,,,,,,,,
0,29,,248.29638671875,,248.79638671875,,,,,,,,
0,39,,243.7322998046875,,244.2322998046875,,,,,,,,
0,49,,251.1211395263672,,251.61940002441406,,,,,,,,
0,59,,247.28897094726562,,247.78897094726562,,,,,,,,
0,69,,245.81626892089844,,246.31626892089844,,,,,,,,
0,79,,207.45803833007812,,207.95803833007812,,,,,,,,
0,89,,228.5140838623047,,229.0140838623047,,,,,,,,
0,99,,236.52561950683594,,237.02561950683594,,,,,,,,
,0,,,,,,,,215.1342010498047,,215.6342010498047,,
,1,,,,,,,,199.55990600585938,,200.05990600585938,,
,2,,,,,,,,182.93966674804688,,183.43797302246094,,
,3,,,,,,,,202.41058349609375,,202.91058349609375,,
,4,,,,,,,,216.17933654785156,,216.67933654785156,,
,5,,,,,,,,238.55938720703125,,239.05938720703125,,
,6,,,,,,,,200.38699340820312,,200.88699340820312,,
,7,,,,,,,,211.3516845703125,,211.849609375,,
,8,,,,,,,,202.17909240722656,,202.6757354736328,,
,9,,,,,,,,213.2788543701172,,213.7788543701172,,
,10,,,,,,,,193.44522094726562,,193.94522094726562,,
,11,,,,,,,,202.15945434570312,,202.65945434570312,,
,12,,,,,,,,199.37081909179688,,199.868408203125,,
,13,,,,,,,,186.9248046875,,187.4248046875,,
0,105,,,,,,,205.60531616210938,,206.10459899902344,,64548.5078125,253.61476135253906
0,105,244.27484130859375,,244.77444458007812,,91282.015625,299.7437744140625,,,,,,
1,109,,182.04733276367188,,182.54733276367188,,,,,,,,
1,119,,200.45050048828125,,200.95050048828125,,,,,,,,
1,129,,194.96534729003906,,195.46534729003906,,,,,,,,
1,139,,168.72462463378906,,169.22462463378906,,,,,,,,
1,149,,193.32260131835938,,193.82257080078125,,,,,,,,
1,159,,234.1149139404297,,234.6149139404297,,,,,,,,
1,169,,206.0806121826172,,206.5806121826172,,,,,,,,
1,179,,182.7454833984375,,183.24301147460938,,,,,,,,
1,189,,176.3481903076172,,176.8481903076172,,,,,,,,
1,199,,189.39781188964844,,189.89781188964844,,,,,,,,
1,209,,178.4278564453125,,178.9278564453125,,,,,,,,
,14,,,,,,,,197.27523803710938,,197.77523803710938,,
,15,,,,,,,,191.28602600097656,,191.78602600097656,,
,16,,,,,,,,158.57652282714844,,159.07652282714844,,
,17,,,,,,,,157.98907470703125,,158.48187255859375,,
,18,,,,,,,,185.55886840820312,,186.05886840820312,,
,19,,,,,,,,207.6321563720703,,208.1321563720703,,
,20,,,,,,,,164.31716918945312,,164.81716918945312,,
,21,,,,,,,,203.06309509277344,,203.56309509277344,,
,22,,,,,,,,184.58203125,,185.08203125,,
,23,,,,,,,,200.77545166015625,,201.27383422851562,,
,24,,,,,,,,172.40939331054688,,172.90939331054688,,
,25,,,,,,,,185.2633514404297,,185.7633514404297,,
,26,,,,,,,,185.11944580078125,,185.61944580078125,,
,27,,,,,,,,139.73269653320312,,140.23269653320312,,
1,211,,,,,,,183.40724182128906,,183.90658569335938,,51905.69921875,227.0985107421875
1,211,196.90660095214844,,197.40615844726562,,58548.45703125,240.8566436767578,,,,,,
2,219,,199.09857177734375,,199.59857177734375,,,,,,,,
2,229,,239.94964599609375,,240.44964599609375,,,,,,,,
2,239,,160.7075653076172,,161.2075653076172,,,,,,,,
2,249,,192.57876586914062,,193.07876586914062,,,,,,,,
2,259,,179.16973876953125,,179.66329956054688,,,,,,,,
2,269,,188.24244689941406,,188.74244689941406,,,,,,,,
2,279,,175.39341735839844,,175.89341735839844,,,,,,,,
2,289,,161.92881774902344,,162.42881774902344,,,,,,,,
2,299,,206.23995971679688,,206.73995971679688,,,,,,,,
2,309,,173.8645477294922,,174.3645477294922,,,,,,,,
,28,,,,,,,,175.03207397460938,,175.53207397460938,,
,29,,,,,,,,187.60208129882812,,188.10208129882812,,
,30,,,,,,,,144.53829956054688,,145.03562927246094,,
,31,,,,,,,,151.7090301513672,,152.2090301513672,,
,32,,,,,,,,167.32498168945312,,167.82498168945312,,
,33,,,,,,,,181.12486267089844,,181.62486267089844,,
,34,,,,,,,,166.11000061035156,,166.61000061035156,,
,35,,,,,,,,194.88931274414062,,195.38931274414062,,
,36,,,,,,,,156.72914123535156,,157.22914123535156,,
,37,,,,,,,,164.930419921875,,165.430419921875,,
,38,,,,,,,,144.1240234375,,144.62388610839844,,
,39,,,,,,,,191.6849365234375,,192.1849365234375,,
,40,,,,,,,,163.6800079345703,,164.1800079345703,,
,41,,,,,,,,135.3091583251953,,135.8091583251953,,
2,317,,,,,,,167.87350463867188,,168.37330627441406,,43589.23828125,208.0500946044922
2,317,179.75592041015625,,180.25547790527344,,49541.4609375,221.4503631591797,,,,,,
3,319,,147.05319213867188,,147.55319213867188,,,,,,,,
3,329,,217.87188720703125,,218.37188720703125,,,,,,,,
3,339,,169.34254455566406,,169.84254455566406,,,,,,,,
3,349,,170.58018493652344,,171.08018493652344,,,,,,,,
3,359,,152.08766174316406,,152.58766174316406,,,,,,,,
3,369,,171.08786010742188,,171.5870361328125,,,,,,,,
3,379,,155.68780517578125,,156.18780517578125,,,,,,,,
3,389,,154.19027709960938,,154.69027709960938,,,,,,,,
3,399,,143.51939392089844,,144.01939392089844,,,,,,,,
3,409,,158.56521606445312,,159.06521606445312,,,,,,,,
3,419,,175.29083251953125,,175.79083251953125,,,,,,,,
,42,,,,,,,,169.46200561523438,,169.95664978027344,,
,43,,,,,,,,174.9157257080078,,175.41571044921875,,
,44,,,,,,,,141.44241333007812,,141.94241333007812,,
,45,,,,,,,,127.23226928710938,,127.73226928710938,,
,46,,,,,,,,179.2108612060547,,179.7108612060547,,
,47,,,,,,,,183.92742919921875,,184.42742919921875,,
,48,,,,,,,,153.01841735839844,,153.51841735839844,,
,49,,,,,,,,181.89405822753906,,182.39405822753906,,
,50,,,,,,,,155.84967041015625,,156.34967041015625,,
,51,,,,,,,,155.55648803710938,,156.05648803710938,,
,52,,,,,,,,130.2559051513672,,130.7559051513672,,
,53,,,,,,,,163.76661682128906,,164.26107788085938,,
,54,,,,,,,,161.50706481933594,,162.00706481933594,,
,55,,,,,,,,127.2359848022461,,127.73394775390625,,
3,423,,,,,,,159.30943298339844,,159.80860900878906,,39980.921875,198.87692260742188
3,423,167.92608642578125,,168.42530822753906,,43656.26953125,208.04478454589844,,,,,,
4,429,,168.32569885253906,,168.82569885253906,,,,,,,,
4,439,,160.38449096679688,,160.88449096679688,,,,,,,,
4,449,,178.6279754638672,,179.1279754638672,,,,,,,,
4,459,,157.01576232910156,,157.51419067382812,,,,,,,,
4,469,,161.39813232421875,,161.89813232421875,,,,,,,,
4,479,,172.41299438476562,,172.91299438476562,,,,,,,,
4,489,,178.3927459716797,,178.88900756835938,,,,,,,,
4,499,,132.52313232421875,,133.02313232421875,,,,,,,,
4,509,,153.70753479003906,,154.20753479003906,,,,,,,,
4,519,,149.63438415527344,,150.13438415527344,,,,,,,,
4,529,,134.0686492919922,,134.5686492919922,,,,,,,,
,56,,,,,,,,157.2415771484375,,157.7415771484375,,
,57,,,,,,,,173.82835388183594,,174.32835388183594,,
,58,,,,,,,,132.92645263671875,,133.42225646972656,,
,59,,,,,,,,135.5384521484375,,136.0384521484375,,
,60,,,,,,,,178.9788055419922,,179.4788055419922,,
,61,,,,,,,,152.03858947753906,,152.53858947753906,,
,62,,,,,,,,148.55685424804688,,149.05685424804688,,
,63,,,,,,,,151.53952026367188,,152.03952026367188,,
,64,,,,,,,,156.2749786376953,,156.7749786376953,,
,65,,,,,,,,163.55943298339844,,164.05943298339844,,
,66,,,,,,,,137.76614379882812,,138.26614379882812,,
,67,,,,,,,,162.73422241210938,,163.2342071533203,,
,68,,,,,,,,148.03909301757812,,148.53909301757812,,
,69,,,,,,,,130.16067504882812,,130.66067504882812,,
4,529,,,,,,,153.3802490234375,,153.8799285888672,,38254.14453125,194.65809631347656
4,529,157.01271057128906,,157.51235961914062,,38801.64453125,195.99273681640625,,,,,,
5,539,,160.1991424560547,,160.6991424560547,,,,,,,,
5,549,,179.08651733398438,,179.58651733398438,,,,,,,,
5,559,,150.49667358398438,,150.99667358398438,,,,,,,,
5,569,,161.25283813476562,,161.75086975097656,,,,,,,,
5,579,,156.3739776611328,,156.8739776611328,,,,,,,,
5,589,,145.82826232910156,,146.32826232910156,,,,,,,,
5,599,,134.01026916503906,,134.51026916503906,,,,,,,,
5,609,,146.3395233154297,,146.83949279785156,,,,,,,,
5,619,,162.0121307373047,,162.51100158691406,,,,,,,,
5,629,,139.9386749267578,,140.4386749267578,,,,,,,,
,70,,,,,,,,128.9537353515625,,129.4537353515625,,
,71,,,,,,,,146.3203582763672,,146.8203582763672,,
,72,,,,,,,,117.64047241210938,,118.14047241210938,,
,73,,,,,,,,123.10554504394531,,123.59910583496094,,
,74,,,,,,,,147.9387664794922,,148.4387664794922,,
,75,,,,,,,,154.36026000976562,,154.85377502441406,,
,76,,,,,,,,143.13766479492188,,143.63760375976562,,
,77,,,,,,,,160.343994140625,,160.843994140625,,
,78,,,,,,,,149.2025146484375,,149.7025146484375,,
,79,,,,,,,,135.98370361328125,,136.48370361328125,,
,80,,,,,,,,130.76199340820312,,131.26199340820312,,
,81,,,,,,,,144.00778198242188,,144.50045776367188,,
,82,,,,,,,,143.48056030273438,,143.97801208496094,,
,83,,,,,,,,105.23658752441406,,105.73658752441406,,
5,635,,,,,,,139.82093811035156,,140.31919860839844,,31511.865234375,176.78640747070312
5,635,151.94541931152344,,152.44480895996094,,36595.3515625,190.4046630859375,,,,,,
6,639,,132.80184936523438,,133.30184936523438,,,,,,,,
6,649,,127.39962005615234,,127.89619445800781,,,,,,,,
6,659,,137.4794921875,,137.9794921875,,,,,,,,
6,669,,146.82456970214844,,147.32456970214844,,,,,,,,
6,679,,154.70042419433594,,155.19625854492188,,,,,,,,
6,689,,130.396484375,,130.896484375,,,,,,,,
6,699,,171.64071655273438,,172.14071655273438,,,,,,,,
6,709,,141.89208984375,,142.39208984375,,,,,,,,
6,719,,126.34354400634766,,126.84354400634766,,,,,,,,
6,729,,161.20184326171875,,161.70184326171875,,,,,,,,
6,739,,169.22219848632812,,169.72219848632812,,,,,,,,
,84,,,,,,,,140.859375,,141.35888671875,,
,85,,,,,,,,154.80551147460938,,155.30551147460938,,
,86,,,,,,,,119.70201873779297,,120.20201873779297,,
,87,,,,,,,,106.15184783935547,,106.64957427978516,,
,88,,,,,,,,149.65711975097656,,150.15711975097656,,
,89,,,,,,,,141.06295776367188,,141.56295776367188,,
,90,,,,,,,,135.9251251220703,,136.4251251220703,,
,91,,,,,,,,136.77401733398438,,137.27401733398438,,
,92,,,,,,,,136.9522705078125,,137.45179748535156,,
,93,,,,,,,,138.8607635498047,,139.3607635498047,,
,94,,,,,,,,114.52954864501953,,115.02954864501953,,
,95,,,,,,,,139.75067138671875,,140.24314880371094,,
,96,,,,,,,,128.2047576904297,,128.7047576904297,,
,97,,,,,,,,125.47907257080078,,125.97907257080078,,
6,741,,,,,,,133.95248413085938,,134.45166015625,,29153.83203125,169.80821228027344
6,741,143.29010009765625,,143.7891845703125,,33331.6015625,181.55923461914062,,,,,,
7,749,,130.49533081054688,,130.99533081054688,,,,,,,,
7,759,,126.93981170654297,,127.43981170654297,,,,,,,,
7,769,,141.15594482421875,,141.65594482421875,,,,,,,,
7,779,,119.68753051757812,,120.18189239501953,,,,,,,,
7,789,,128.23992919921875,,128.73992919921875,,,,,,,,
7,799,,139.6661834716797,,140.16050720214844,,,,,,,,
7,809,,122.66500091552734,,123.16500091552734,,,,,,,,
7,819,,119.39897918701172,,119.89897918701172,,,,,,,,
7,829,,129.82972717285156,,130.32972717285156,,,,,,,,
7,839,,128.97711181640625,,129.47702026367188,,,,,,,,
,98,,,,,,,,139.36395263671875,,139.86395263671875,,
,99,,,,,,,,150.92745971679688,,151.42745971679688,,
,100,,,,,,,,118.89173889160156,,119.3889389038086,,
,101,,,,,,,,108.90580749511719,,109.40324401855469,,
,102,,,,,,,,146.77490234375,,147.27490234375,,
,103,,,,,,,,155.91378784179688,,156.41378784179688,,
,104,,,,,,,,130.03359985351562,,130.53359985351562,,
,105,,,,,,,,154.40325927734375,,154.89767456054688,,
,106,,,,,,,,145.1340789794922,,145.6340789794922,,
,107,,,,,,,,136.66233825683594,,137.16233825683594,,
,108,,,,,,,,125.8048095703125,,126.3048095703125,,
,109,,,,,,,,149.487548828125,,149.987548828125,,
,110,,,,,,,,146.6275634765625,,147.1275634765625,,
,111,,,,,,,,143.74598693847656,,144.24598693847656,,
7,847,,,,,,,139.224609375,,139.72378540039062,,32343.53125,179.12384033203125
7,847,138.88104248046875,,139.3800048828125,,31331.005859375,176.1334991455078,,,,,,
8,849,,125.73931884765625,,126.23931884765625,,,,,,,,
8,859,,137.46221923828125,,137.96221923828125,,,,,,,,
8,869,,132.55165100097656,,133.05165100097656,,,,,,,,
8,879,,155.50015258789062,,156.00015258789062,,,,,,,,
8,889,,118.21908569335938,,118.71908569335938,,,,,,,,
8,899,,126.4136734008789,,126.9136734008789,,,,,,,,
8,909,,120.74038696289062,,121.23605346679688,,,,,,,,
8,919,,116.66627502441406,,117.16627502441406,,,,,,,,
8,929,,138.93905639648438,,139.43905639648438,,,,,,,,
8,939,,134.22296142578125,,134.72296142578125,,,,,,,,
8,949,,140.2366180419922,,140.7366180419922,,,,,,,,
,112,,,,,,,,127.97160339355469,,128.4716033935547,,
,113,,,,,,,,140.65830993652344,,141.15786743164062,,
,114,,,,,,,,99.40705108642578,,99.89797973632812,,
,115,,,,,,,,93.83975219726562,,94.33975219726562,,
,116,,,,,,,,139.8908233642578,,140.3908233642578,,
,117,,,,,,,,130.46102905273438,,130.95968627929688,,
,118,,,,,,,,140.6957244873047,,141.1957244873047,,
,119,,,,,,,,133.80789184570312,,134.30789184570312,,
,120,,,,,,,,127.53804016113281,,128.0380401611328,,
,121,,,,,,,,124.00364685058594,,124.50364685058594,,
,122,,,,,,,,114.5630874633789,,115.05779266357422,,
,123,,,,,,,,128.4304962158203,,128.9304962158203,,
,124,,,,,,,,129.46913146972656,,129.96913146972656,,
,125,,,,,,,,106.95868682861328,,107.45868682861328,,
8,953,,,,,,,125.13542938232422,,125.63420104980469,,26525.166015625,161.7548065185547
8,953,133.4480438232422,,133.94711303710938,,29152.029296875,169.9215087890625,,,,,,
9,959,,183.39700317382812,,183.89700317382812,,,,,,,,
9,969,,163.5220947265625,,164.0220947265625,,,,,,,,
9,979,,119.33036041259766,,119.82464599609375,,,,,,,,
9,989,,134.62948608398438,,135.1292266845703,,,,,,,,
9,999,,123.4205551147461,,123.9205551147461,,,,,,,,
9,1009,,124.2413101196289,,124.74012756347656,,,,,,,,
9,1019,,118.72532653808594,,119.22081756591797,,,,,,,,
9,1029,,153.1776885986328,,153.66998291015625,,,,,,,,
9,1039,,104.19488525390625,,104.69488525390625,,,,,,,,
9,1049,,132.46194458007812,,132.95712280273438,,,,,,,,
9,1059,,151.49368286132812,,151.99368286132812,,,,,,,,
,126,,,,,,,,125.89524841308594,,126.39524841308594,,
,127,,,,,,,,154.99929809570312,,155.49929809570312,,
,128,,,,,,,,109.1163330078125,,109.6163330078125,,
,129,,,,,,,,104.67041778564453,,105.17041778564453,,
,130,,,,,,,,138.62893676757812,,139.12893676757812,,
,131,,,,,,,,140.82093811035156,,141.3163604736328,,
,132,,,,,,,,128.3321533203125,,128.8321533203125,,
,133,,,,,,,,132.33447265625,,132.83447265625,,
,134,,,,,,,,127.67399597167969,,128.1739959716797,,
,135,,,,,,,,123.09060668945312,,123.59060668945312,,
,136,,,,,,,,108.00916290283203,,108.50223541259766,,
,137,,,,,,,,124.18157196044922,,124.68043518066406,,
,138,,,,,,,,129.05130004882812,,129.55130004882812,,
,139,,,,,,,,90.17253112792969,,90.67253112792969,,
9,1059,,,,,,,126.07315063476562,,126.57219696044922,,26074.619140625,160.4472198486328
9,1059,131.36685180664062,,131.86558532714844,,28666.470703125,168.0389404296875,,,,,,
10,1069,,146.05844116210938,,146.5525665283203,,,,,,,,
10,1079,,153.35643005371094,,153.85643005371094,,,,,,,,
10,1089,,132.46673583984375,,132.96620178222656,,,,,,,,
10,1099,,114.57537841796875,,115.07466125488281,,,,,,,,
10,1109,,126.24808502197266,,126.7463607788086,,,,,,,,
10,1119,,145.90513610839844,,146.40513610839844,,,,,,,,
10,1129,,150.6698455810547,,151.1698455810547,,,,,,,,
10,1139,,138.38589477539062,,138.88589477539062,,,,,,,,
10,1149,,104.21902465820312,,104.71902465820312,,,,,,,,
10,1159,,125.52227020263672,,126.02227020263672,,,,,,,,
,140,,,,,,,,124.49925231933594,,124.99925231933594,,
,141,,,,,,,,142.67430114746094,,143.17430114746094,,
,142,,,,,,,,108.82763671875,,109.32763671875,,
,143,,,,,,,,99.0333251953125,,99.52836608886719,,
,144,,,,,,,,141.3587646484375,,141.8553009033203,,
,145,,,,,,,,141.3502197265625,,141.8482208251953,,
,146,,,,,,,,117.84320068359375,,118.34320068359375,,
,147,,,,,,,,131.86582946777344,,132.36582946777344,,
,148,,,,,,,,123.72882080078125,,124.22882080078125,,
,149,,,,,,,,122.75892639160156,,123.25892639160156,,
,150,,,,,,,,107.7219467163086,,108.2219467163086,,
,151,,,,,,,,130.12135314941406,,130.62135314941406,,
,152,,,,,,,,131.1405029296875,,131.6405029296875,,
,153,,,,,,,,99.3968276977539,,99.8968276977539,,
10,1165,,,,,,,124.41925811767578,,124.91846466064453,,25930.603515625,160.10623168945312
10,1165,127.94174194335938,,128.4408721923828,,26764.958984375,162.7518310546875,,,,,,
11,1169,,113.04530334472656,,113.54530334472656,,,,,,,,
11,1179,,151.7160186767578,,152.21263122558594,,,,,,,,
11,1189,,133.47032165527344,,133.97032165527344,,,,,,,,
11,1199,,130.1729278564453,,130.6729278564453,,,,,,,,
11,1209,,131.4123992919922,,131.9123992919922,,,,,,,,
11,1219,,130.7454833984375,,131.2454833984375,,,,,,,,
11,1229,,117.892578125,,118.39247131347656,,,,,,,,
11,1239,,121.95365142822266,,122.44905853271484,,,,,,,,
11,1249,,136.31314086914062,,136.81314086914062,,,,,,,,
11,1259,,120.36781311035156,,120.86781311035156,,,,,,,,
11,1269,,138.05783081054688,,138.5503692626953,,,,,,,,
,154,,,,,,,,108.59461212158203,,109.0942611694336,,
,155,,,,,,,,125.25746154785156,,125.75746154785156,,
,156,,,,,,,,94.55552673339844,,95.05076599121094,,
,157,,,,,,,,90.8400650024414,,91.3400650024414,,
,158,,,,,,,,131.17279052734375,,131.67279052734375,,
,159,,,,,,,,135.15673828125,,135.65673828125,,
,160,,,,,,,,113.95938110351562,,114.45932006835938,,
,161,,,,,,,,122.9552001953125,,123.4552001953125,,
,162,,,,,,,,120.47928619384766,,120.97928619384766,,
,163,,,,,,,,109.10935974121094,,109.60935974121094,,
,164,,,,,,,,105.53044128417969,,106.03044128417969,,
,165,,,,,,,,121.52801513671875,,122.02801513671875,,
,166,,,,,,,,112.85689544677734,,113.35689544677734,,
,167,,,,,,,,82.73311614990234,,83.23311614990234,,
11,1271,,,,,,,114.23875427246094,,114.73836517333984,,22100.740234375,147.51039123535156
11,1271,125.77548217773438,,126.27432250976562,,26112.23046875,160.74740600585938,,,,,,
12,1279,,114.36041259765625,,114.86041259765625,,,,,,,,
12,1289,,101.12786865234375,,101.62513732910156,,,,,,,,
12,1299,,111.47731018066406,,111.97280883789062,,,,,,,,
12,1309,,123.90138244628906,,124.40138244628906,,,,,,,,
12,1319,,114.67899322509766,,115.17501831054688,,,,,,,,
12,1329,,110.16654205322266,,110.66654205322266,,,,,,,,
12,1339,,113.79457092285156,,114.29457092285156,,,,,,,,
12,1349,,130.6533660888672,,131.1533660888672,,,,,,,,
12,1359,,145.60272216796875,,146.10272216796875,,,,,,,,
12,1369,,107.092529296875,,107.59200286865234,,,,,,,,
,168,,,,,,,,115.90287017822266,,116.40287017822266,,
,169,,,,,,,,130.66543579101562,,131.16543579101562,,
,170,,,,,,,,104.21309661865234,,104.71309661865234,,
,171,,,,,,,,97.94842529296875,,98.44842529296875,,
,172,,,,,,,,128.9229278564453,,129.4228057861328,,
,173,,,,,,,,130.90135192871094,,131.40135192871094,,
,174,,,,,,,,124.15045166015625,,124.64727783203125,,
,175,,,,,,,,117.44487762451172,,117.94487762451172,,
,176,,,,,,,,123.65193176269531,,124.15193176269531,,
,177,,,,,,,,116.27754211425781,,116.77754211425781,,
,178,,,,,,,,100.4037857055664,,100.9037857055664,,
,179,,,,,,,,124.6170425415039,,125.1170425415039,,
,180,,,,,,,,124.94033813476562,,125.43814086914062,,
,181,,,,,,,,106.07775115966797,,106.57775115966797,,
12,1377,,,,,,,118.2596435546875,,118.75922393798828,,23586.60546875,152.7359619140625
12,1377,120.89507293701172,,121.39409637451172,,24449.15234375,155.400634765625,,,,,,
13,1379,,118.07649230957031,,118.56906127929688,,,,,,,,
13,1389,,110.3936767578125,,110.8936767578125,,,,,,,,
13,1399,,124.86065673828125,,125.36065673828125,,,,,,,,
13,1409,,100.61465454101562,,101.11465454101562,,,,,,,,
13,1419,,125.58251190185547,,126.08251190185547,,,,,,,,
13,1429,,135.25668334960938,,135.75668334960938,,,,,,,,
13,1439,,126.04278564453125,,126.53994750976562,,,,,,,,
13,1449,,117.93406677246094,,118.42971801757812,,,,,,,,
13,1459,,112.64159393310547,,113.14159393310547,,,,,,,,
13,1469,,127.71127319335938,,128.21127319335938,,,,,,,,
13,1479,,102.59725952148438,,103.09725952148438,,,,,,,,
,182,,,,,,,,102.14187622070312,,102.64187622070312,,
,183,,,,,,,,134.95578002929688,,135.45521545410156,,
,184,,,,,,,,105.32398986816406,,105.82398986816406,,
,185,,,,,,,,88.5516128540039,,89.0516128540039,,
,186,,,,,,,,126.5735092163086,,127.0735092163086,,
,187,,,,,,,,131.1865234375,,131.6865234375,,
,188,,,,,,,,109.52440643310547,,110.02440643310547,,
,189,,,,,,,,120.33716583251953,,120.83716583251953,,
,190,,,,,,,,124.41839599609375,,124.91839599609375,,
,191,,,,,,,,97.5127182006836,,98.0127182006836,,
,192,,,,,,,,100.51126861572266,,101.0107421875,,
,193,,,,,,,,114.68887329101562,,115.18870544433594,,
,194,,,,,,,,113.30024719238281,,113.80024719238281,,
,195,,,,,,,,88.92896270751953,,89.42896270751953,,
13,1483,,,,,,,112.60365295410156,,113.10356903076172,,22018.361328125,147.05618286132812
13,1483,120.91197967529297,,121.41070556640625,,24357.9296875,155.1508026123047,,,,,,
14,1489,,131.1707763671875,,131.6707763671875,,,,,,,,
14,1499,,81.32661437988281,,81.82661437988281,,,,,,,,
14,1509,,128.59353637695312,,129.09353637695312,,,,,,,,
14,1519,,126.74581146240234,,127.24581146240234,,,,,,,,
14,1529,,126.5505142211914,,127.0505142211914,,,,,,,,
14,1539,,95.35751342773438,,95.84931182861328,,,,,,,,
14,1549,,112.53285217285156,,113.03285217285156,,,,,,,,
14,1559,,103.72188568115234,,104.22188568115234,,,,,,,,
14,1569,,134.59498596191406,,135.0936737060547,,,,,,,,
14,1579,,119.55231475830078,,120.05231475830078,,,,,,,,
14,1589,,135.68653869628906,,136.18630981445312,,,,,,,,
,196,,,,,,,,104.234130859375,,104.73289489746094,,
,197,,,,,,,,118.49266052246094,,118.99266052246094,,
,198,,,,,,,,88.08641052246094,,88.58641052246094,,
,199,,,,,,,,86.53984069824219,,87.03984069824219,,
,200,,,,,,,,128.78274536132812,,129.28189086914062,,
,201,,,,,,,,130.09898376464844,,130.59898376464844,,
,202,,,,,,,,108.51763916015625,,109.0174560546875,,
,203,,,,,,,,121.22802734375,,121.72802734375,,
,204,,,,,,,,118.43562316894531,,118.93547058105469,,
,205,,,,,,,,105.15899658203125,,105.65899658203125,,
,206,,,,,,,,114.49462890625,,114.99462890625,,
,207,,,,,,,,119.52853393554688,,120.02853393554688,,
,208,,,,,,,,121.10546875,,121.60546875,,
,209,,,,,,,,96.92179107666016,,97.42179107666016,,
14,1589,,,,,,,112.4089126586914,,112.90873718261719,,22155.935546875,147.39190673828125
14,1589,118.27550506591797,,118.77468872070312,,23296.546875,151.80621337890625,,,,,,
